Codigo	Latitude	Longitude	Tipo
47000	-0.65	-47.55	2
47001	-0.8333	-47.5	2
47002	-0.6231	-47.3536	2
47003	-0.7375	-47.8536	2
47004	-0.9294	-47.0994	2
47005	-0.6336	-47.6583	2
47006	-0.7747	-47.1775	2
47007	-0.7944	-47.5997	2
48000	-0.7278	-48.5158	2
48002	-0.9	-48.6333	2
48003	-0.55	-48.7833	2
48004	-0.3333	-48.5167	2
48005	-0.2	-48.9167	2
48006	-0.8681	-48.1103	2
49000	-0.9833	-49.95	2
49001	-0.6167	-49.1667	2
49002	-0.8167	-49.15	2
49003	-0.8333	-49.7667	2
49004	-0.2167	-49.4667	2
49006	-0.25	-49.2667	2
49007	-0.4	-49.9	2
49008	-0.5333	-49.4	2
49009	-0.9853	-49.9394	2
49010	-0.1656	-49.9786	2
49011	-1.0158	-48.9597	2
49012	-0.6653	-49.1711	2
50000	-0.15	-50	2
50001	-0.1	-50.3833	2
50002	-0.8	-50.7	2
50003	-0.1603	-50.3894	2
51000	-0.05	-51.1833	2
51001	-0.05	-51.0667	2
51002	-0.3992	-51.4203	2
51003	-0.1833	-51.8	2
51004	-0.1806	-51.7358	2
51005	-0.7947	-51.6239	2
52000	-0.5711	-52.575	2
52001	-0.1333	-52.9333	2
52002	-0.6	-52.6	2
52003	-0.4567	-52.0775	2
52004	-0.1392	-52.9344	2
52005	-0.5497	-52.6742	2
52006	-0.5572	-52.5792	2
52007	-0.5661	-52.5214	2
52008	-0.6514	-52.5075	2
52009	-0.6619	-52.5161	2
52010	-0.8569	-52.525	2
53000	-0.4167	-53.7	2
53001	-0.2139	-53.8469	2
54000	-0.9667	-54.4333	2
54001	-0.95	-54.9167	2
54002	0.5861	-54.2086	2
57000	-0.6953	-57.9742	2
57001	-0.9978	-57.0431	2
59001	-0.8661	-59.6011	2
59002	-0.585	-59.7761	2
59003	-0.5956	-59.7772	2
60000	-0.8558	-60.5219	2
60001	-0.2275	-60.6908	2
61000	-0.5067	-61.7858	2
61001	-0.8731	-61.9317	2
62000	-0.9711	-62.9286	2
62001	-0.3011	-62.7622	2
62002	-0.9658	-62.9311	2
63000	-0.5983	-63.3978	2
63001	-0.3672	-62.7753	2
64001	-0.71	-64.7961	2
64002	-0.5919	-64.8256	2
65000	-0.42	-65.98	2
65001	-0.4203	-65.0153	2
65002	-0.5406	-65.2122	2
66000	-0.2889	-66.1533	2
66001	-0.65	-66.75	2
66002	-0.2017	-66.8033	2
67000	-0.1253	-67.0611	2
67001	-0.1367	-67.0856	2
67002	-0.3444	-67.5358	2
71000	-0.9167	-71.8	2
72000	-0.6167	-72.9333	2
72001	-0.55	-72.75	2
72002	-0.6667	-72.6167	2
72003	-0.5833	-72.4333	2
72004	-0.55	-72.1333	2
73000	-0.5333	-73.4	2
73001	-0.4	-73.75	2
73002	-0.6167	-73.15	2
